step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,dest_freq,orig_freq
278,330218.42,20866.0,351084.42,452419.57,122201.15,0,0,False,False,False,False,4,1
15,11647.08,30370.0,18722.92,0.0,0.0,0,0,False,False,True,False,1,1
10,152264.21,106589.0,258853.21,201303.01,49038.8,0,0,False,False,False,False,25,1
403,1551760.63,0.0,0.0,3198359.45,4750120.08,0,0,False,False,False,True,16,1
206,78172.3,2921331.58,2999503.88,415821.9,337649.6,0,0,False,False,False,False,6,1
259,915.13,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
188,20603.87,0.0,0.0,558068.66,578672.53,0,0,True,False,False,False,12,1
139,58605.72,0.0,0.0,585494.94,644100.66,0,0,True,False,False,False,14,1
230,4865.11,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
544,118131.63,0.0,0.0,8131691.35,8476246.86,0,0,True,False,False,False,28,1
45,141100.88,80506.0,0.0,89384.09,230484.96,0,0,True,False,False,False,11,1
163,384177.48,40348.0,0.0,0.0,384177.48,0,0,True,False,False,False,16,1
211,153486.36,20476.0,0.0,85173.16,238659.53,0,0,True,False,False,False,11,1
302,51042.59,184.0,0.0,380143.14,431185.74,0,0,True,False,False,False,15,1
18,48691.16,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
322,36598.65,8240.66,0.0,0.0,0.0,0,0,False,False,True,False,1,1
158,124443.29,14236.0,0.0,0.0,124443.29,0,0,True,False,False,False,20,1
131,510190.97,57590.0,0.0,115914.88,626105.86,0,0,True,False,False,False,14,1
253,940927.27,8568.0,0.0,0.0,940927.27,0,0,False,False,False,True,6,1
132,240156.34,0.0,0.0,2811902.28,3052058.62,0,0,True,False,False,False,34,1
283,44360.26,0.0,0.0,282664.52,327024.78,0,0,True,False,False,False,13,1
43,338458.24,30283.0,0.0,1055729.15,1564103.49,0,0,True,False,False,False,25,1
642,311748.24,4279.0,316027.24,27843.39,0.0,0,0,False,False,False,False,6,1
164,151.58,10659.0,10507.42,50706.33,50857.9,0,0,False,True,False,False,6,1
326,26565.95,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
132,6.57,0.0,0.0,2909681.35,2909687.93,0,0,True,False,False,False,33,1
37,23898.77,50271.0,74169.77,205872.37,181973.6,0,0,False,False,False,False,12,1
9,26360.78,365.0,0.0,202458.96,244056.68,0,0,True,False,False,False,43,1
157,192935.2,51937.0,244872.2,171874.85,0.0,0,0,False,False,False,False,8,1
406,18801.43,126.0,0.0,0.0,18801.43,0,0,False,False,False,True,2,1
235,3516.08,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
346,6987.8,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
19,8808.73,50485.0,59293.73,177448.43,168639.7,0,0,False,False,False,False,11,1
208,24649.07,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
332,97562.73,5396.0,0.0,2455585.33,2553148.05,0,0,True,False,False,False,17,1
139,598680.17,45059.0,0.0,2559233.0,3157913.17,0,0,False,False,False,True,27,1
304,218659.82,1005.0,0.0,16320325.66,16592681.56,0,0,True,False,False,False,18,1
686,304408.97,4276845.77,4581254.74,1443186.93,1314479.93,0,0,False,False,False,False,14,1
139,5090.28,50617.0,45526.72,0.0,0.0,0,0,False,False,True,False,1,1
226,176016.04,0.0,0.0,12916654.7,13005481.5,0,0,True,False,False,False,25,1
201,11605.7,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
14,234850.43,669990.79,904841.22,298639.42,49936.17,0,0,False,False,False,False,30,1
323,186549.79,0.0,0.0,242473.16,429022.95,0,0,True,False,False,False,11,1
225,79042.15,6064.0,0.0,410360.71,489402.86,0,0,True,False,False,False,17,1
138,5055.72,108809.83,103754.11,0.0,0.0,0,0,False,False,True,False,1,1
41,12020.77,639020.83,627000.06,0.0,0.0,0,0,False,False,True,False,1,1
399,123326.84,5477362.0,5600688.84,3470716.16,3347389.32,0,0,False,False,False,False,18,1
120,14241.21,109207.0,94965.79,0.0,0.0,0,0,False,False,True,False,1,1
373,23480.16,5309.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
179,195205.19,1961856.75,2157061.94,1150566.93,955361.74,0,0,False,False,False,False,22,1
544,145319.54,8056.0,0.0,696100.99,841420.53,0,0,True,False,False,False,6,1
369,14270.03,3309.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
275,6851.17,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
396,296959.67,10609.0,307568.67,0.0,0.0,0,0,False,False,False,False,1,1
304,166630.9,10944.0,177574.9,240525.0,73894.11,0,0,False,False,False,False,5,1
162,165135.41,187326.54,352461.95,190273.97,25138.56,0,0,False,False,False,False,5,1
304,1704.03,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
22,390903.09,7947520.93,8338424.03,707650.38,316747.29,0,0,False,False,False,False,16,1
229,21061.24,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
259,8129.46,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
234,6492.32,252978.2,246485.88,0.0,0.0,0,0,False,False,True,False,1,1
304,16242.22,0.0,0.0,1401840.75,1418082.97,0,0,True,False,False,False,15,1
352,286864.49,0.0,0.0,598674.63,885539.12,0,0,True,False,False,False,4,1
139,147351.57,6185044.14,6332395.71,7292368.53,7145016.96,0,0,False,False,False,False,14,1
229,21362.19,0.0,0.0,102800.19,124162.37,0,0,False,False,False,True,7,1
186,16871.75,374693.53,357821.78,0.0,0.0,0,0,False,False,True,False,1,1
406,88826.43,249733.0,160906.57,963113.59,1051940.02,0,0,True,False,False,False,8,1
469,38509.2,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
399,7301.4,21426.0,14124.6,0.0,0.0,0,0,False,False,True,False,1,1
288,51907.16,48529.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
204,343.06,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
232,24413.46,5088.0,0.0,0.0,24413.46,0,0,True,False,False,False,6,1
192,125568.72,55360.0,0.0,0.0,125568.72,0,0,True,False,False,False,7,1
13,203321.66,7707.02,0.0,223460.41,426782.08,0,0,True,False,False,False,37,1
281,7452.27,254793.0,247340.73,0.0,0.0,0,0,False,False,True,False,1,1
379,117253.94,1527903.53,1645157.47,309923.06,192669.12,0,0,False,False,False,False,9,1
159,16500.28,0.0,0.0,1039511.46,1056011.74,0,0,True,False,False,False,18,1
324,25380.11,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
230,95623.45,95785.0,161.55,0.0,95623.45,0,0,True,False,False,False,5,1
405,122899.15,6017.0,128916.15,227088.65,104189.5,0,0,False,False,False,False,10,1
380,255661.72,1148679.19,1404340.91,1991419.36,1735757.64,0,0,False,False,False,False,12,1
307,124210.26,13648.0,0.0,637289.41,761499.67,0,0,True,False,False,False,15,1
43,406390.63,0.0,0.0,596285.7,1002676.33,0,0,False,False,False,True,10,1
404,12747.45,3027551.36,3040298.81,193795.69,181048.24,0,0,False,False,False,False,8,1
36,17210.24,468747.37,451537.13,0.0,0.0,0,0,False,False,True,False,1,1
401,287548.26,6300194.15,6587742.41,1211290.25,923741.99,0,0,False,False,False,False,21,1
259,326712.9,10763635.06,11090347.96,2415359.64,2088646.74,0,0,False,False,False,False,16,1
228,241.89,103317.6,103075.72,0.0,0.0,0,0,False,False,True,False,1,1
236,5883.37,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
297,13055.28,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
12,616.88,107243.5,106626.62,0.0,0.0,0,0,False,False,True,False,1,1
236,107759.5,0.0,0.0,1507711.83,1615471.33,0,0,True,False,False,False,15,1
253,18868.29,21137221.01,21156089.3,34831.61,15963.32,0,0,False,False,False,False,8,1
13,4986.63,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
36,17692.64,10268.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
403,7457.89,0.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
300,2262.52,49271.0,47008.48,124780.0,127042.52,0,0,False,True,False,False,6,1
564,67418.91,52181.0,119599.91,1659195.46,1591776.55,0,0,False,False,False,False,9,1
254,9414.76,5839.9,0.0,0.0,0.0,0,0,False,False,True,False,1,1
206,17485.51,9339.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
186,43115.41,8316334.88,8359450.29,2694031.18,2650915.76,0,0,False,False,False,False,25,1
188,1408.77,99765.0,98356.23,0.0,0.0,0,0,False,False,True,False,1,1
181,251225.77,41290.0,0.0,5124625.51,5375851.29,0,0,True,False,False,False,30,1
186,329093.01,163894.0,0.0,163766.23,492859.24,0,0,True,False,False,False,11,1
18,111900.86,38599.0,0.0,0.0,111900.86,0,0,True,False,False,False,11,1
356,11348.41,9611.61,0.0,0.0,0.0,0,0,False,False,True,False,1,1
203,2249.75,49824.0,47574.25,0.0,0.0,0,0,False,False,True,False,1,1
178,339983.69,150825.86,0.0,1797411.66,2137395.36,0,0,True,False,False,False,36,1
11,22006.91,187492.15,165485.24,0.0,0.0,0,0,False,False,True,False,1,1
255,16964.15,21330.0,4365.85,0.0,0.0,0,0,False,False,True,False,1,1
35,125132.6,292194.0,167061.4,0.0,125132.6,0,0,False,False,False,True,28,1
542,20450.59,0.0,0.0,739119.08,759569.67,0,0,True,False,False,False,5,1
35,124651.74,20960.0,145611.74,467335.09,342683.35,0,0,False,False,False,False,9,1
240,7443.29,311.0,0.0,0.0,0.0,0,0,False,False,True,False,1,1
35,18520.37,37618.39,19098.02,0.0,0.0,0,0,False,False,True,False,1,1
325,240938.14,0.0,0.0,677911.3,918849.44,0,0,True,False,False,False,8,1
